Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
GDP (current US$),NY.GDP.MKTP.CD,World,WLD,22987402273855.3,33855853033266.6,75472473882835.1,76702553625899.1,81712043350515.5,86884839554431.6,88149850742946,85763013427792.9,97848299706454.8,101770911729948,106171667873321,..
"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,World,WLD,8.06346090938833,3.43351563418767,1.44385719270808,1.60553917414213,2.25427651934813,2.44258329692817,2.20607305781525,1.9056635869553,3.4754032028988,7.93092925430087,5.73316283034957,..
"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS,World,WLD,..,6.12304074094227,6.00655926883703,5.97827384301346,5.90723141254145,5.76898308254956,5.59893079520961,6.60880501698705,6.06444597897447,5.26071088886287,4.91657221632923,4.89214997028311
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 04/15/2025,,,,,,,,,,,,,,,
